period,time,HR,BR,activity,skin,ambulation,drink,drinkactivity,drinking,Positive,Negative,Fear,Hostility,Sadness
4/8/2015,19.9667,NaN,NaN,NaN,NaN,MovingFast,0,0,0,0,0,0,0,0
4/8/2015,19.9681,NaN,NaN,NaN,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,19.9694,NaN,NaN,NaN,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,19.9708,NaN,NaN,1059.389186,NaN,MovingSlowly,0,0,0,0,0,0,0,0
4/8/2015,19.9722,NaN,NaN,1059.321526,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9736,NaN,NaN,1059.253867,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.975,NaN,NaN,1059.160467,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9764,NaN,NaN,1059.067068,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9778,NaN,NaN,1059.01465,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9792,NaN,NaN,1058.962231,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9806,NaN,NaN,1057.982854,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9819,NaN,NaN,1058.939676,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9833,NaN,NaN,1062.393789,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9847,NaN,NaN,1058.904903,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9861,NaN,NaN,1063.100636,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9875,NaN,NaN,1062.558935,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9889,NaN,NaN,1063.727684,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9903,NaN,NaN,1063.692826,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9917,NaN,NaN,1062.368243,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9931,NaN,NaN,1062.808469,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9944,NaN,NaN,1062.716165,NaN,Stationary,0,0,0,0,0,0,0,0
4/8/2015,19.9958,NaN,NaN,1062.937972,NaN,Stationary,0,0,0,0,0,0,0,0
